Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,14.402000,14.683000,14.227000,14.603000,14.594640,354923000
2022-12-30,14.334000,14.629000,14.233000,14.614000,14.605634,310490000
2023-01-03,14.851000,14.996000,14.096000,14.315000,14.306804,401277000
2023-01-04,14.567000,14.853000,14.241000,14.749000,14.740557,431324000
2023-01-05,14.491000,14.564000,14.148000,14.265000,14.256834,389168000
2023-01-06,14.474000,15.010000,14.034000,14.859000,14.850493,405044000
2023-01-09,15.284000,16.056000,15.141000,15.628000,15.619053,504231000
2023-01-10,15.507000,15.962000,15.472000,15.909000,15.899891,384101000
2023-01-11,15.840000,16.028000,15.563000,16.000999,15.991838,353285000
2023-01-12,16.100000,16.636999,15.492000,16.511000,16.501547,551409000
2023-01-13,16.278000,16.922001,16.165001,16.899000,16.889324,447287000
2023-01-17,16.899000,17.728001,16.899000,17.702000,17.691866,511102000
2023-01-18,17.667000,17.872999,17.282000,17.377001,17.367054,439624000
2023-01-19,17.035999,17.197001,16.731001,16.764999,16.755402,452932000
2023-01-20,17.011000,17.856001,16.825001,17.839001,17.828789,564967000
2023-01-23,18.063999,19.245001,17.818001,19.193001,19.182013,655163000
2023-01-24,18.827000,19.495001,18.820000,19.264999,19.253969,496204000
2023-01-25,18.913000,19.370001,18.580000,19.323000,19.311939,449537000
2023-01-26,19.701000,20.166000,19.278000,19.802000,19.790663,489535000
2023-01-27,19.462000,20.628000,19.405001,20.365000,20.353342,542142000
2023-01-30,19.950001,20.139999,19.150000,19.162001,19.151031,488611000
2023-01-31,19.170000,19.687000,18.950001,19.537001,19.525818,498017000
2023-02-01,19.691000,21.191999,19.611000,20.943001,20.931011,660477000
2023-02-02,21.000000,21.948999,20.700001,21.709000,21.696571,564276000
2023-02-03,21.000000,21.745001,20.789000,21.100000,21.087923,429366000
2023-02-06,20.806000,21.570000,20.785999,21.089001,21.076927,452197000
2023-02-07,21.382000,22.259001,21.150000,22.173000,22.160305,664150000
2023-02-08,22.386999,22.878000,22.007999,22.205000,22.192287,559651000
2023-02-09,22.606001,23.020000,22.120001,22.337000,22.324213,523876000
2023-02-10,21.690001,22.077999,20.811001,21.264999,21.252825,550737000
2023-02-13,21.538000,22.048000,20.962000,21.788000,21.775524,474919000
2023-02-14,21.577999,23.049000,21.365999,22.971001,22.957850,675474000
2023-02-15,22.549000,22.855000,22.106001,22.764000,22.750965,420575000
2023-02-16,22.132999,22.549999,21.927000,22.002001,21.989405,412026000
2023-02-17,21.631001,21.740000,20.975000,21.388000,21.375757,465888000
2023-02-21,21.000000,21.493999,20.618000,20.655001,20.643175,410015000
2023-02-22,20.707001,21.104000,20.421000,20.754000,20.742117,513184000
2023-02-23,23.440001,23.888000,23.025000,23.664000,23.650452,1117995000
2023-02-24,23.225000,23.474001,22.947001,23.285999,23.272667,589716000
2023-02-27,23.670000,23.879999,23.454000,23.500999,23.487543,452994000
2023-02-28,23.372000,23.825001,23.205999,23.216000,23.202707,455963000
2023-03-01,23.191999,23.256001,22.507999,22.698000,22.685005,460026000
2023-03-02,22.488001,23.379999,22.431999,23.313999,23.300653,389415000
2023-03-03,23.320000,23.900000,23.129999,23.889999,23.876320,412393000
2023-03-06,23.891001,24.247999,23.487000,23.554001,23.540518,437429000
